id,who,text
unt56x,adams,"I was told to hold this position. Nobody has told me otherwise."
10qr67s,adams,"Another night. The night is not the problem."
1vmm06y,adams,"Stand where you can see the door. Everything else is detail."
9ogqjr,adams,"Here they come. Count them if it helps you."
1hkinfb,adams,"Positions."
iphmob,adams,"Again."
1j0nayx,adams,"Quiet. Use it."
jlwy4l,adams,"Reload now. Not later."
1mp6prk,adams,"I have been in worse. Not many. But worse."
8itbuw,adams,"That one is finished."
ynvjbh,adams,"Through the eye. Old habit."
wuj0l3,adams,"Head. Always the head."
1lp71k,adams,"Three of them in a line. They should have spread out."
a1sylv,adams,"I am still standing. That is the whole of it."
kwhzj3,adams,"Not tonight. I have plans tonight."
15z95ss,adams,"Better. Keep moving."
10s40mw,adams,"Reloading. Cover the door."
7q4qrw,adams,"Empty. Give me a moment."
n7ngu5,adams,"Nothing. Nothing at all."
17wqh90,adams,"Close work. Fine."
ssaani,adams,"This will do."
wr70pi,adams,"A young man's advantage. I will take it."
13p0i5x,adams,"A box that gives you a rifle. I have stopped asking."
xv0j8d,adams,"Now that is a weapon."
t0elmz,adams,"Open. Do not stand in it."
1nev5w8,adams,"Lights. Every moth on the coast will know."
pwcfzg,adams,"Grenade. Move."
1h1gls2,adams,"That one is armoured. Aim for what is not."
1bkgk8z,adams,"Down. It took long enough."
1v886rh,adams,"That is several of them wearing one skin."
14dzw63,adams,"A rock from the sky. Of course."
141thcr,adams,"The rock has done something to it. I do not ask what."
125xdrx,adams,"Tools. Good. A soldier should mend his own rifle."
yi6bj7,adams,"Ten seconds. Do not waste them standing here."
16fo1kd,adams,"It lost its legs and kept coming. So would I."
1gl55k2,adams,"It spits. Do not let it land on you."
1ch0j83,adams,"So. Here."
1718h0o,adams,"He nearly made it. They usually nearly make it."
aisnjv,carlos,"I fix things. Tonight I am fixing this."
us8ei0,carlos,"Okay. Okay. We can work with this."
z4lg4r,carlos,"Windows, door, stairs. That is three things to watch. I can count to three."
hkwma6,carlos,"They are up."
kudndz,carlos,"Here we go again, hermano."
tiumco,carlos,"Back to work."
c3kf6g,carlos,"Breathe. Board something."
1qwwwc4,carlos,"That is one more we lived through."
jpwp2e,carlos,"I stopped counting rounds. I count doors now."
eklsdq,carlos,"One down. Only the whole coast to go."
sawmsr,carlos,"Right between them."
1f17s2e,carlos,"Clean."
byzpe9,carlos,"All of you? All of you at once? Fine."
65e334,carlos,"No no no — not like this."
1t1yodh,carlos,"Still here. Still here."
av5ep0,carlos,"Okay. Okay, I am okay."
zhl8eq,carlos,"Reloading — hold them!"
p1jh53,carlos,"Give me two seconds."
11d3sz9,carlos,"Empty! Empty!"
9s84ad,carlos,"Get off me!"
x8vtb1,carlos,"That is better than what I had."
1z049sz,carlos,"I do not know what is in this. I drank it anyway."
1cgntk3,carlos,"It hums when you open it. That cannot be good."
d7o61m,carlos,"Oh, that is beautiful."
ishl5n,carlos,"Door is open. New problems that way."
kuh3xu,carlos,"Power is up! Everything works now — everything."
17iuddk,carlos,"Fire in the hole!"
fs07xu,carlos,"That one is wearing a wall."
nzdyvy,carlos,"It is down. Somebody tell me it is down."
18tcn7s,carlos,"What — what is that? That is too many arms."
w191fj,carlos,"Something came down out there. Something big."
1tebwqy,carlos,"The rock ate my gun and gave it back angry."
iefur3,carlos,"A proper bench. Now I can actually do something."
1jg0y5t,carlos,"Go, go — while they are still turning around!"
1edwhsw,carlos,"It is on the floor and it is faster!"
1yyjwgj,carlos,"Acid — do not let it touch you!"
wwhxxz,carlos,"I am sorry. I am so sorry."
81gkal,carlos,"He was almost here. He was almost here."
6s2knl,sam,"I only came here for the fuel."
g93iw0,sam,"Right. Let us be professional about this."
